	EnsemblID	GeneSymbol	Description
3077	ENSG00000227187	RPL21P31	ribosomal protein L21 pseudogene 31
3078	ENSG00000174279	EVX2	even-skipped homeobox 2
3079	ENSG00000294883		
3080	ENSG00000305721	LOC105370869	uncharacterized LOC105370869
3081	ENSG00000243455	RPS18P13	ribosomal protein S18 pseudogene 13
3082	ENSG00000205883	DEFB135	defensin beta 135
3083	ENSG00000207637	MIR595	microRNA 595
3084	ENSG00000221545	MIR1255B2	microRNA 1255b-2
3085	ENSG00000290604	FMO9P	flavin containing dimethylaniline monoxygenase 9, pseudogene
3086	ENSG00000295353		
3087	ENSG00000231605	LINC01363	long intergenic non-protein coding RNA 1363
3088	ENSG00000250827	SLC60A2P1	SLC60A2 pseudogene 1
3089	ENSG00000147246	HTR2C	5-hydroxytryptamine receptor 2C
3090	ENSG00000271907	SNORA35B	small nucleolar RNA, H/ACA box 35B
3091	ENSG00000295085		
3092	ENSG00000287218		
3093	ENSG00000203730	TEDDM1	transmembrane epididymal protein 1
3094	ENSG00000297520		
3095	ENSG00000224810		
3096	ENSG00000308271		
3097	ENSG00000255689		
3098	ENSG00000305683	LOC105376326	uncharacterized LOC105376326
3099	ENSG00000273160		
3100	ENSG00000279810		
3101	ENSG00000305472		
3102	ENSG00000302047		
3103	ENSG00000154975	CA10	carbonic anhydrase 10
3104	ENSG00000183560	IZUMO1R	IZUMO1 receptor, JUNO
3105	ENSG00000307943		
3106	ENSG00000306709		
3107	ENSG00000308695		
3108	ENSG00000285887		
3109	ENSG00000223941	LINC01014	long intergenic non-protein coding RNA 1014
3110	ENSG00000285336	LOC101928882	uncharacterized LOC101928882
3111	ENSG00000290751	TCP10L3	t-complex 10 like 3 (pseudogene)
3112	ENSG00000271600		
3113	ENSG00000271917		
3114	ENSG00000307225		
3115	ENSG00000287342	LOC105375118	uncharacterized LOC105375118
3116	ENSG00000285091		
3117	ENSG00000272027		
3118	ENSG00000176495	OR5AN1	olfactory receptor family 5 subfamily AN member 1
3119	ENSG00000213432	RPL17P34	ribosomal protein L17 pseudogene 34
3120	ENSG00000270268	CORO1CP1	CORO1C pseudogene 1
3121	ENSG00000296721		
3122	ENSG00000241226	RN7SL836P	RNA, 7SL, cytoplasmic 836, pseudogene
3123	ENSG00000226771		
3124	ENSG00000197928	ZNF677	zinc finger protein 677
3125	ENSG00000232606	LINC01412	long intergenic non-protein coding RNA 1412
3126	ENSG00000253232		
3127	ENSG00000300376		
3128	ENSG00000297036		
3129	ENSG00000284723	OR8S1	olfactory receptor family 8 subfamily S member 1
3130	ENSG00000304255		
3131	ENSG00000226717	PTPRD-DT	PTPRD divergent transcript
3132	ENSG00000276524	LINC03065	long intergenic non-protein coding RNA 3065
3133	ENSG00000244378	RPS2P45	ribosomal protein S2 pseudogene 45
3134	ENSG00000259346		
3135	ENSG00000258798	CCDC88C-DT	CCDC88C divergent transcript
3136	ENSG00000250781	LOC105374428	uncharacterized LOC105374428
3137	ENSG00000272986		
3138	ENSG00000263857	MIR4729	microRNA 4729
3139	ENSG00000307271		
3140	ENSG00000308573	LOC124901947	uncharacterized LOC124901947
3141	ENSG00000248347		
3142	ENSG00000170890	PLA2G1B	phospholipase A2 group IB
3143	ENSG00000308306		
3144	ENSG00000104827	CGB3	chorionic gonadotropin subunit beta 3
3145	ENSG00000302712		
3146	ENSG00000206797	Y_RNA	Y RNA
3147	ENSG00000159398	CES5A	carboxylesterase 5A
3148	ENSG00000276077	LINC03105	long intergenic non-protein coding RNA 3105
3149	ENSG00000123364	HOXC13	homeobox C13
3150	ENSG00000274928	KRT89P	keratin 89, pseudogene
3151	ENSG00000233829	RPL26P15	ribosomal protein L26 pseudogene 15
3152	ENSG00000234362	LINC01914	long intergenic non-protein coding RNA 1914
3153	ENSG00000290596	FAR2P2	fatty acyl-CoA reductase 2 pseudogene 2
3154	ENSG00000173302	GPR148	G protein-coupled receptor 148
3155	ENSG00000299451		
3156	ENSG00000309604		
3157	ENSG00000262543	SMIM28	small integral membrane protein 28
3158	ENSG00000297616		
3159	ENSG00000249064	KRT18P25	keratin 18 pseudogene 25
3160	ENSG00000245870	LINC00682	long intergenic non-protein coding RNA 682
3161	ENSG00000173908	KRT28	keratin 28
3162	ENSG00000295364		
3163	ENSG00000276270	MIR6799	microRNA 6799
3164	ENSG00000253354	LOC105379388	uncharacterized LOC105379388
3165	ENSG00000253952	HIGD1AP18	HIG1 hypoxia inducible domain family member 1A pseudogene 18
3166	ENSG00000254557		
3167	ENSG00000296940		
3168	ENSG00000229805	LINC01813	long intergenic non-protein coding RNA 1813
3169	ENSG00000257476	LINC02459	long intergenic non-protein coding RNA 2459
3170	ENSG00000265429	MIR4782	microRNA 4782
3171	ENSG00000241204	RPS18P11	ribosomal protein S18 pseudogene 11
3172	ENSG00000270457		
3173	ENSG00000306420		
3174	ENSG00000302072		
3175	ENSG00000299630		
3176	ENSG00000308838		
3177	ENSG00000285579		
3178	ENSG00000253583		
3179	ENSG00000296699		
3180	ENSG00000271172		
3181	ENSG00000303533	LOC105374515	uncharacterized LOC105374515
3182	ENSG00000305187		
3183	ENSG00000232767	HSPA12A-AS1	HSPA12A antisense RNA 1
3184	ENSG00000214872	SMTNL1	smoothelin like 1
3185	ENSG00000172377	OR9I1	olfactory receptor family 9 subfamily I member 1
3186	ENSG00000181958	OR4A15	olfactory receptor family 4 subfamily A member 15
3187	ENSG00000237863	IRS4-AS1	IRS4 antisense RNA 1
3188	ENSG00000112303	VNN2	vanin 2
3189	ENSG00000309681		
3190	ENSG00000181617	FDCSP	follicular dendritic cell secreted protein
3191	ENSG00000178522	AMBN	ameloblastin
3192	ENSG00000305340		
3193	ENSG00000271063	SNRPGP17	small nuclear ribonucleoprotein polypeptide G pseudogene 17
3194	ENSG00000235168		
3195	ENSG00000308193		
3196	ENSG00000241045	RPL7P43	ribosomal protein L7 pseudogene 43
3197	ENSG00000297581		
3198	ENSG00000213605		
3199	ENSG00000259208	RPL7L1P15	RPL7L1 pseudogene 15
3200	ENSG00000271983		
3201	ENSG00000286953		
3202	ENSG00000306599		
3203	ENSG00000277210		
3204	ENSG00000224695	MTND6P7	MT-ND6 pseudogene 7
3205	ENSG00000227789	MTCYBP7	MT-CYB pseudogene 7
3206	ENSG00000275337	RN7SL680P	RNA, 7SL, cytoplasmic 680, pseudogene
3207	ENSG00000239470	RPL21P97	ribosomal protein L21 pseudogene 97
3208	ENSG00000309318		
3209	ENSG00000253593	LOC101927822	uncharacterized LOC101927822
3210	ENSG00000286227		
3211	ENSG00000258112	CCNG2P1	cyclin G2 pseudogene 1
3212	ENSG00000261198		
3213	ENSG00000296286		
3214	ENSG00000291031	BCORP1	BCL6 corepressor pseudogene 1
3215	ENSG00000286247		
3216	ENSG00000308940		
3217	ENSG00000222162	RN7SKP151	RN7SK pseudogene 151
3218	ENSG00000303573	LOC105379562	uncharacterized LOC105379562
3219	ENSG00000265420	MIR4779	microRNA 4779
3220	ENSG00000288835		
3221	ENSG00000006757	PNPLA4	patatin like domain 4, phospholipase and triacylglycerol lipase
3222	ENSG00000232634	NEFLP1	neurofilament light pseudogene 1
3223	ENSG00000251722	RNU5E-3P	RNA, U5E small nuclear 3, pseudogene
3224	ENSG00000250930	LNX1-AS1	LNX1 antisense RNA 1
3225	ENSG00000199677	Y_RNA	Y RNA
3226	ENSG00000302015		
3227	ENSG00000270035		
3228	ENSG00000309921		
3229	ENSG00000308684		
3230	ENSG00000248600		
3231	ENSG00000216009	MIR874	microRNA 874
3232	ENSG00000260882		
3233	ENSG00000283692		
3234	ENSG00000309241		
3235	ENSG00000184454	NCMAP	non-compact myelin associated protein
3236	ENSG00000308842	LOC124902983	uncharacterized LOC124902983
3237	ENSG00000234900		
3238	ENSG00000299247		
3239	ENSG00000229876	CASC20	cancer susceptibility 20
3240	ENSG00000101282	RSPO4	R-spondin 4
3241	ENSG00000233896	PDYN-AS1	PDYN antisense RNA 1
3242	ENSG00000232991	GACAT1	gastric cancer associated transcript 1
3243	ENSG00000307575		
3244	ENSG00000283072	LOC124904963	uncharacterized LOC124904963
3245	ENSG00000293972		
3246	ENSG00000259534		
3247	ENSG00000224711	LINC01706	long intergenic non-protein coding RNA 1706
3248	ENSG00000300354		
3249	ENSG00000253580	TRMT10BP1	tRNA methyltransferase 10B pseudogene 1
3250	ENSG00000248050	SYBU-AS1	SYBU antisense RNA 1
3251	ENSG00000298833	LOC105369905	uncharacterized LOC105369905
3252	ENSG00000299401		
3253	ENSG00000242858	RPL13AP14	ribosomal protein L13a pseudogene 14
3254	ENSG00000299385		
3255	ENSG00000306069		
3256	ENSG00000236525		
3257	ENSG00000283052	LINC02456	long intergenic non-protein coding RNA 2456
3258	ENSG00000179447	SLC24A3-AS1	SLC24A3 antisense RNA 1
3259	ENSG00000125813	PAX1	paired box 1
3260	ENSG00000202479	SNORD14	Small nucleolar RNA SNORD14
3261	ENSG00000300732		
3262	ENSG00000274227		
3263	ENSG00000202029	RNU6-580P	RNA, U6 small nuclear 580, pseudogene
3264	ENSG00000297978		
3265	ENSG00000185710	SMG1P4	SMG1 pseudogene 4
3266	ENSG00000295173		
3267	ENSG00000301450		
3268	ENSG00000258153	HSPE1P4	heat shock protein family E (Hsp10) member 1 pseudogene 4
3269	ENSG00000249751	ECSCR	endothelial cell surface expressed chemotaxis and apoptosis regulator
3270	ENSG00000217416	ISCA1P1	iron-sulfur cluster assembly 1 pseudogene 1
3271	ENSG00000235876	FEM1AP4	fem-1 homolog A pseudogene 4
3272	ENSG00000287084		
3273	ENSG00000306930		
3274	ENSG00000238575	LOC124904380	small nucleolar RNA U109
3275	ENSG00000290964	LOC102723968	uncharacterized LOC102723968
3276	ENSG00000152034	MCHR2	melanin concentrating hormone receptor 2
3277	ENSG00000295589		
3278	ENSG00000249360	TOMM40P3	TOMM40 pseudogene 3
3279	ENSG00000243544	RN7SL172P	RNA, 7SL, cytoplasmic 172, pseudogene
3280	ENSG00000259904	ACTG1P15	actin gamma 1 pseudogene 15
3281	ENSG00000248428		
3282	ENSG00000237730	RPS5P8	RPS5 pseudogene 8
3283	ENSG00000182898	TCHHL1	trichohyalin like 1
3284	ENSG00000286577	LOC105379087	uncharacterized LOC105379087
3285	ENSG00000287362		
3286	ENSG00000298492		
3287	ENSG00000283769		
3288	ENSG00000234419	CICP13	capicua transcriptional repressor pseudogene 13
3289	ENSG00000224995	LINC01526	long intergenic non-protein coding RNA 1526
3290	ENSG00000257350		
3291	ENSG00000213211	KRT18P64	keratin 18 pseudogene 64
3292	ENSG00000305277		
3293	ENSG00000270947		
3294	ENSG00000281131	SCHLAP1	SWI/SNF complex antagonist associated with prostate cancer 1
3295	ENSG00000260472		
3296	ENSG00000235207	TUBBP6	tubulin beta class I pseudogene 6
3297	ENSG00000243711	RPL21P116	ribosomal protein L21 pseudogene 116
3298	ENSG00000232760	LOC100859919	chromosome 9 open reading frame 86 pseudogene 2
3299	ENSG00000260815	PPIAP47	peptidylprolyl isomerase A pseudogene 47
3300	ENSG00000224425	SSBP3P2	SSBP3 pseudogene 2
3301	ENSG00000138622	HCN4	hyperpolarization activated cyclic nucleotide gated potassium channel 4
3302	ENSG00000304956		
3303	ENSG00000180389	ATP5F1EP2	ATP synthase F1 subunit epsilon pseudogene 2
3304	ENSG00000288302	LOC124903386	uncharacterized LOC124903386
3305	ENSG00000270576		
3306	ENSG00000255856		
3307	ENSG00000294673		
3308	ENSG00000288060		
3309	ENSG00000293477	CRYZL2P	crystallin zeta like 2, pseudogene
3310	ENSG00000167037	SGSM1	small G protein signaling modulator 1
3311	ENSG00000204529	GUCY2EP	guanylate cyclase 2E, pseudogene
3312	ENSG00000289235		
3313	ENSG00000227034		
3314	ENSG00000231992		
3315	ENSG00000302162		
3316	ENSG00000294853		
3317	ENSG00000257048	LINC02417	long intergenic non-protein coding RNA 2417
3318	ENSG00000276088	RN7SL620P	RNA, 7SL, cytoplasmic 620, pseudogene
3319	ENSG00000233428	PPIAP65	peptidylprolyl isomerase A pseudogene 65
3320	ENSG00000294633		
3321	ENSG00000237793	RPL18AP16	ribosomal protein L18a pseudogene 16
3322	ENSG00000212605	RNU1-56P	RNA, U1 small nuclear 56, pseudogene
3323	ENSG00000306377		
3324	ENSG00000264176	MAGOH2P	mago homolog 2, pseudogene
3325	ENSG00000248444	HNRNPA1P65	heterogeneous nuclear ribonucleoprotein A1 pseudogene 65
3326	ENSG00000286710	LOC116435278	uncharacterized LOC116435278
3327	ENSG00000164853	UNCX	UNC homeobox
3328	ENSG00000232268	OR52I1	olfactory receptor family 52 subfamily I member 1
3329	ENSG00000249782	LOC105374647	uncharacterized LOC105374647
3330	ENSG00000230650	LOC442041	zinc finger protein 532 pseudogene
3331	ENSG00000299376		
3332	ENSG00000306227		
3333	ENSG00000142789	CELA3A	chymotrypsin like elastase 3A
3334	ENSG00000233304	LINC01346	long intergenic non-protein coding RNA 1346
3335	ENSG00000169297	NR0B1	nuclear receptor subfamily 0 group B member 1
3336	ENSG00000227118	BTF3P13	basic transcription factor 3 pseudogene 13
3337	ENSG00000139223	ANP32D	acidic nuclear phosphoprotein 32 family member D
3338	ENSG00000240036		
3339	ENSG00000253886	LOC100128833	VPS37A, ESCRT-I subunit pseudogene
3340	ENSG00000280418		
3341	ENSG00000230916	MTCO1P53	MT-CO1 pseudogene 53
3342	ENSG00000267257		
3343	ENSG00000231093	TRMT1P1	TRMT1 pseudogene 1
3344	ENSG00000214748		
3345	ENSG00000272075	RN7SL828P	RNA, 7SL, cytoplasmic 828, pseudogene
3346	ENSG00000224540	TFDP1P1	TFDP1 pseudogene 1
3347	ENSG00000294658		
3348	ENSG00000308654		
3349	ENSG00000305534		
3350	ENSG00000300024		
3351	ENSG00000226038	PPIAP21	peptidylprolyl isomerase A pseudogene 21
3352	ENSG00000236499	LINC00896	long intergenic non-protein coding RNA 896
3353	ENSG00000304909	LOC105372716	uncharacterized LOC105372716
3354	ENSG00000248694		
3355	ENSG00000187999	HNRNPA1P61	heterogeneous nuclear ribonucleoprotein A1 pseudogene 61
3356	ENSG00000215351	PPIAP1	peptidylprolyl isomerase A pseudogene 1
3357	ENSG00000301133		
3358	ENSG00000291024	LOC442028	uncharacterized LOC442028
3359	ENSG00000201942	RNA5SP363	RNA, 5S ribosomal pseudogene 363
3360	ENSG00000212144	LOC124900421	U8 small nucleolar RNA
3361	ENSG00000275945	EIF3FP1	eukaryotic translation initiation factor 3 subunit F pseudogene 1
3362	ENSG00000296857		
3363	ENSG00000255836	LOC100419928	M-phase phosphoprotein 8 pseudogene
3364	ENSG00000257855	LOC101059974	p53 and DNA damage-regulated protein 1-like
3365	ENSG00000214322	CBX1P2	chromobox 1 pseudogene 2
3366	ENSG00000262445		
3367	ENSG00000295025		
3368	ENSG00000307779		
3369	ENSG00000235892	PKMP2	pyruvate kinase M1/2 pseudogene 2
3370	ENSG00000301735		
3371	ENSG00000280238		
3372	ENSG00000199082	MIR342	microRNA 342
3373	ENSG00000229089	ANKRD20A8P	ankyrin repeat domain 20 family member A8, pseudogene
3374	ENSG00000252130	RNU6-1045P	RNA, U6 small nuclear 1045, pseudogene
3375	ENSG00000260573	LOC124903770	uncharacterized LOC124903770
3376	ENSG00000265660	MIR4664	microRNA 4664
3377	ENSG00000207172	RNU6-1162P	RNA, U6 small nuclear 1162, pseudogene
3378	ENSG00000263540	MIR5582	microRNA 5582
3379	ENSG00000263675	MIR5581	microRNA 5581
3380	ENSG00000285900		
3381	ENSG00000232370	BAG1P1	BAG1 pseudogene 1
3382	ENSG00000255847		
3383	ENSG00000280245		
3384	ENSG00000264174		
3385	ENSG00000270323	LOC100419713	MIA SH3 domain ER export factor 2 pseudogene
3386	ENSG00000296611		
3387	ENSG00000227225	MTND1P14	MT-ND1 pseudogene 14
3388	ENSG00000294830		
3389	ENSG00000211898	IGHD	immunoglobulin heavy constant delta
3390	ENSG00000302035		
3391	ENSG00000303111		
3392	ENSG00000262492		
3393	ENSG00000240669	RPS14P6	ribosomal protein S14 pseudogene 6
3394	ENSG00000295776		
3395	ENSG00000234111	LINC02433	long intergenic non-protein coding RNA 2433
3396	ENSG00000309770		
3397	ENSG00000269883		
3398	ENSG00000188820	CALHM6	calcium homeostasis modulator family member 6
3399	ENSG00000303008		
3400	ENSG00000126550	HTN1	histatin 1
3401	ENSG00000249534	LINC01258	long intergenic non-protein coding RNA 1258
3402	ENSG00000197322	TMEM132E-DT	TMEM132E divergent transcript
3403	ENSG00000249858	SNX5P1	sorting nexin 5 pseudogene 1
3404	ENSG00000299883		
3405	ENSG00000295325		
3406	ENSG00000226500		
3407	ENSG00000294675		
3408	ENSG00000151025	GPR158	G protein-coupled receptor 158
3409	ENSG00000303309		
3410	ENSG00000304446		
3411	ENSG00000290858		
3412	ENSG00000300525		
3413	ENSG00000167419	LPO	lactoperoxidase
3414	ENSG00000306041		
3415	ENSG00000272783		
3416	ENSG00000286870		
3417	ENSG00000289292		
3418	ENSG00000306215		
3419	ENSG00000137672	TRPC6	transient receptor potential cation channel subfamily C member 6
3420	ENSG00000249727		
3421	ENSG00000307554		
3422	ENSG00000256684	LINC02737	long intergenic non-protein coding RNA 2737
3423	ENSG00000255502	LINC02713	long intergenic non-protein coding RNA 2713
3424	ENSG00000297723	LOC105376403	uncharacterized LOC105376403
3425	ENSG00000261018		
3426	ENSG00000198854	KPLCE	KPRP N-terminal and LCE C-terminal like protein
3427	ENSG00000287040		
3428	ENSG00000162723	SLAMF9	SLAM family member 9
3429	ENSG00000254534	PLS1P1	PLS1 pseudogene 1
3430	ENSG00000301250	LOC105378104	uncharacterized LOC105378104
3431	ENSG00000240511	MED28P2	mediator complex subunit 28 pseudogene 2
3432	ENSG00000265096	C1QTNF1-AS1	C1QTNF1 antisense RNA 1
3433	ENSG00000308986	LOC105378145	uncharacterized LOC105378145
3434	ENSG00000260976	LINC01633	long intergenic non-protein coding RNA 1633
3435	ENSG00000229088	MTND1P10	MT-ND1 pseudogene 10
3436	ENSG00000203601	LINC00970	long intergenic non-protein coding RNA 970
3437	ENSG00000234604		
3438	ENSG00000264813		
3439	ENSG00000284825		
3440	ENSG00000304881		
3441	ENSG00000308649		
3442	ENSG00000298736		
3443	ENSG00000293335	ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1
3444	ENSG00000269945		
3445	ENSG00000308455		
3446	ENSG00000239809		
3447	ENSG00000143171	RXRG	retinoid X receptor gamma
3448	ENSG00000296347		
3449	ENSG00000307436		
3450	ENSG00000307308		
3451	ENSG00000254502	FNTAP1	farnesyltransferase, CAAX box, alpha pseudogene 1
3452	ENSG00000310014		
3453	ENSG00000217044	MTCO3P31	MT-CO3 pseudogene 31
3454	ENSG00000219409	LOC100420214	rhomboid domain containing 1 pseudogene
3455	ENSG00000222552	RNA5SP60	RNA, 5S ribosomal pseudogene 60
3456	ENSG00000301198	LOC105376409	uncharacterized LOC105376409
3457	ENSG00000218357	LINC01644	long intergenic non-protein coding RNA 1644
3458	ENSG00000279712		
3459	ENSG00000296627		
3460	ENSG00000250485	EXOC7P1	EXOC7 pseudogene 1
3461	ENSG00000287512		
3462	ENSG00000249001	DMP1-AS1	DMP1 and DSPP antisense RNA 1
3463	ENSG00000219387	ATF1P1	activating transcription factor 1 pseudogene 1
3464	ENSG00000250892	LOC100288172	WEE1 homolog (S. pombe) pseudogene
3465	ENSG00000213088	ACKR1	atypical chemokine receptor 1 (Duffy blood group)
3466	ENSG00000297577		
3467	ENSG00000267634	RPL7L1P5	RPL7L1 pseudogene 5
3468	ENSG00000306349		
3469	ENSG00000258807		
3470	ENSG00000302760		
3471	ENSG00000310225		
3472	ENSG00000302190		
3473	ENSG00000301541		
3474	ENSG00000287602		
3475	ENSG00000223125	RNU2-32P	RNA, U2 small nuclear 32, pseudogene
3476	ENSG00000310122		
3477	ENSG00000251436	NUP58P1	nucleoporin 58 pseudogene 1
3478	ENSG00000242197	RPL37P14	ribosomal protein L37 pseudogene 14
3479	ENSG00000298045		
3480	ENSG00000234300	LINC00229	long intergenic non-protein coding RNA 229
3481	ENSG00000290592	LOC107985211	uncharacterized LOC107985211
3482	ENSG00000310229		
3483	ENSG00000217539	IQCB2P	IQ motif containing B2 pseudogene
3484	ENSG00000219770	VN1R11P	vomeronasal 1 receptor 11, pseudogene
3485	ENSG00000277410	H2BP5	H2B histone pseudogene 5
3486	ENSG00000261837		
3487	ENSG00000184140	OR4F6	olfactory receptor family 4 subfamily F member 6
3488	ENSG00000307174		
3489	ENSG00000249100		
3490	ENSG00000270521		
3491	ENSG00000169811	RBMY1HP	RNA binding motif protein Y-linked family 1 member H, pseudogene
3492	ENSG00000260201		
3493	ENSG00000293684		
3494	ENSG00000240083	RPS3AP22	RPS3A pseudogene 22
3495	ENSG00000294066		
3496	ENSG00000253959	LINC01863	long intergenic non-protein coding RNA 1863
3497	ENSG00000250992		
3498	ENSG00000306149		
3499	ENSG00000250949		
3500	ENSG00000302386		
3501	ENSG00000255223	OR5M11	olfactory receptor family 5 subfamily M member 11
3502	ENSG00000290163		
3503	ENSG00000259286		
3504	ENSG00000259459	LINC02568	long intergenic non-protein coding RNA 2568
3505	ENSG00000276772		
3506	ENSG00000299416		
3507	ENSG00000260593		
3508	ENSG00000230570	ACCSLP1	ACCSL pseudogene 1
3509	ENSG00000157502	PWWP3B	PWWP domain containing 3B
3510	ENSG00000235196		
3511	ENSG00000260322		
3512	ENSG00000149534	MS4A2	membrane spanning 4-domains A2
3513	ENSG00000270623	SPCS2P2	signal peptidase complex subunit 2 pseudogene 2
3514	ENSG00000234452	SLC16A12-AS1	SLC16A12 antisense RNA 1
3515	ENSG00000251163	PRELID3BP4	PRELI domain containing 3B pseudogene 4
3516	ENSG00000308916		
3517	ENSG00000251112		
3518	ENSG00000293645		
3519	ENSG00000166917	MIR202HG	MIR202 host gene
3520	ENSG00000214915		
3521	ENSG00000298730		
3522	ENSG00000205864	KRTAP5-6	keratin associated protein 5-6
3523	ENSG00000232557		
3524	ENSG00000238063	LINC01685	long intergenic non-protein coding RNA 1685
3525	ENSG00000300386		
3526	ENSG00000234481		
3527	ENSG00000293734		
3528	ENSG00000306893		
3529	ENSG00000293830		
3530	ENSG00000259489	KRT18P47	keratin 18 pseudogene 47
3531	ENSG00000227311	RPL21P20	ribosomal protein L21 pseudogene 20
3532	ENSG00000198974	MIR30E	microRNA 30e
3533	ENSG00000233433	CBLL1P1	CBLL1 pseudogene 1
3534	ENSG00000271164	CFAP97P1	CFAP97 pseudogene 1
3535	ENSG00000295457		
3536	ENSG00000287244		
3537	ENSG00000179178	TMEM125	transmembrane protein 125
3538	ENSG00000275494		
3539	ENSG00000296116		
3540	ENSG00000263253		
3541	ENSG00000161055	SCGB3A1	secretoglobin family 3A member 1
3542	ENSG00000279214		
3543	ENSG00000255270	NAV2-IT1	NAV2 intronic transcript 1
3544	ENSG00000260310		
3545	ENSG00000308552		
3546	ENSG00000310450		
3547	ENSG00000299010		
3548	ENSG00000227589	TP73-AS3	TP73 antisense RNA 3
3549	ENSG00000309111		
3550	ENSG00000297072		
3551	ENSG00000309197		
3552	ENSG00000279324		
3553	ENSG00000168143	FAM83B	family with sequence similarity 83 member B
3554	ENSG00000278522	POTEB3	POTE ankyrin domain family member B3
3555	ENSG00000251388		
3556	ENSG00000286692		
3557	ENSG00000286359	LOC124902473	uncharacterized LOC124902473
3558	ENSG00000214999		
3559	ENSG00000198844	ARHGEF15	Rho guanine nucleotide exchange factor 15
3560	ENSG00000305114	LOC124901238	uncharacterized LOC124901238
3561	ENSG00000305082		
3562	ENSG00000262921		
3563	ENSG00000308351		
3564	ENSG00000302832		
3565	ENSG00000261435		
3566	ENSG00000286816		
3567	ENSG00000296811		
3568	ENSG00000196933	RPS26P11	ribosomal protein S26 pseudogene 11
3569	ENSG00000263312	LINC01975	long intergenic non-protein coding RNA 1975
3570	ENSG00000289096		
3571	ENSG00000258460	LOC124903387	uncharacterized LOC124903387
3572	ENSG00000307713		
3573	ENSG00000300737		
3574	ENSG00000236800		
3575	ENSG00000264230	ANXA8L1	annexin A8 like 1
3576	ENSG00000226245	ZNF32-AS1	ZNF32 antisense RNA 1
3577	ENSG00000287307		
3578	ENSG00000241233	KRTAP5-8	keratin associated protein 5-8
3579	ENSG00000295738		
3580	ENSG00000287751	FAM106B	family with sequence similarity 106 member B
3581	ENSG00000275800	EIF5P2	eukaryotic translation initiation factor 5 pseudogene 2
3582	ENSG00000270392	PFN1P2	profilin 1 pseudogene 2
3583	ENSG00000305021		
3584	ENSG00000276109		
3585	ENSG00000308259		
3586	ENSG00000307649		
3587	ENSG00000283025	HUPCOS	hormone disturbance in PCOS associated regulator of RBPMS
3588	ENSG00000307670		
3589	ENSG00000297334		
3590	ENSG00000301954		
3591	ENSG00000310247		
3592	ENSG00000296082		
3593	ENSG00000232950	ZNF519P1	zinc finger protein 519 pseudogene 1
3594	ENSG00000302732		
3595	ENSG00000224965	KCNC4-DT	KCNC4 divergent transcript
3596	ENSG00000228280		
3597	ENSG00000123576	ESX1	ESX homeobox 1
3598	ENSG00000263020		
3599	ENSG00000287660	LOC124900810	uncharacterized LOC124900810
3600	ENSG00000250712	LOC391713	tripartite motif-containing 75 pseudogene
3601	ENSG00000300485		
3602	ENSG00000259413		
3603	ENSG00000228365	LOC124906551	uncharacterized LOC124906551
3604	ENSG00000271933		
3605	ENSG00000237480		
3606	ENSG00000285525		
3607	ENSG00000299373		
3608	ENSG00000250814	LINC02221	long intergenic non-protein coding RNA 2221
3609	ENSG00000296988		
3610	ENSG00000287010		
3611	ENSG00000279537		
3612	ENSG00000308197		
3613	ENSG00000295700		
3614	ENSG00000290147	GUCA1ANB-GUCA1A	GUCA1ANB-GUCA1A readthrough
3615	ENSG00000226558		
3616	ENSG00000164626	KCNK5	potassium two pore domain channel subfamily K member 5
3617	ENSG00000124780	KCNK17	potassium two pore domain channel subfamily K member 17
3618	ENSG00000296959		
3619	ENSG00000270304		
3620	ENSG00000250448	MARCHF11-DT	MARCHF11 divergent transcript
3621	ENSG00000302279		
3622	ENSG00000308716		
3623	ENSG00000279377		
3624	ENSG00000269575	MTDHP5	metadherin pseudogene 5
3625	ENSG00000226072		
3626	ENSG00000302543		
3627	ENSG00000170956	CEACAM3	CEA cell adhesion molecule 3
3628	ENSG00000286807		
3629	ENSG00000272839		
3630	ENSG00000253199	LINC02153	long intergenic non-protein coding RNA 2153
3631	ENSG00000185231	MC2R	melanocortin 2 receptor
3632	ENSG00000136574	GATA4	GATA binding protein 4
3633	ENSG00000223563		
3634	ENSG00000291052	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)
3635	ENSG00000228744	RPS3AP30	RPS3A pseudogene 30
3636	ENSG00000233295	FAM90A20	family with sequence similarity 90 member A20
3637	ENSG00000254265		
3638	ENSG00000203883	SOX18	SRY-box transcription factor 18
3639	ENSG00000298106		
3640	ENSG00000104760	FGL1	fibrinogen like 1
3641	ENSG00000231954	MTND2P22	MT-ND2 pseudogene 22
3642	ENSG00000302152		
3643	ENSG00000233204	MAPRE1P3	MAPRE1 pseudogene 3
3644	ENSG00000279844		
3645	ENSG00000269834	ZNF528-AS1	ZNF528 antisense RNA 1
3646	ENSG00000286394		
3647	ENSG00000299911		
3648	ENSG00000256814		
3649	ENSG00000267968	LOC105372441	uncharacterized LOC105372441
3650	ENSG00000286348		
3651	ENSG00000240534	RPL34P17	ribosomal protein L34 pseudogene 17
3652	ENSG00000170486	KRT72	keratin 72
3653	ENSG00000230365		
3654	ENSG00000274333	LINC03104	long intergenic non-protein coding RNA 3104
3655	ENSG00000294538		
3656	ENSG00000294242		
3657	ENSG00000295910	LOC105370088	uncharacterized LOC105370088
3658	ENSG00000269565	GPR32P1	GPR32 pseudogene 1
